nama,ncx_cons
ACCOUNT MANAGER,TLK CONS User|TLK CONS User CA
ACCOUNT MANAGER 1,TLK CONS User|TLK CONS User CA
ACCOUNT MANAGER 2,TLK CONS User
HERO,TLK CONS User
MGR ACCESS DATA VALIDAT & INVENTORY MGMT,TLK CONS User
"MGR ACCESS OPTIMA, MAINTENANCE, QE&DAMAN",TLK CONS User
"MGR ACCESS OPTIMA,MAINTENANCE,QE&DAMAN",TLK CONS User
MGR CA & COHERENT IT ENABLEMENT,CONS ADMIN
MGR CUSTOMER MGT SYSTEM OPERATION,CONS ADMIN
MGR DATA MANAGEMENT,TLK CONS User
MGR FULFILLMENT OPERATION MANAGEMENT,TLK CONS Inquiry User
MGR FULFILLMENT PERFORMANCE MANAGEMENT,TLK CONS User
MGR FULFILLMENT SERVICE DESK & SUPPORT,TLK CONS User
MGR OSP & CAPEX QE,TLK CONS User
"MGR PERFORMANCE, RISK & QOS",TLK CONS User CA
MGR QOS & SLA MANAGEMENT,TLK CONS User
MGR RESOURCE & PARTNERSHIP MANAGEMENT,TLK CONS User
MGR REVENUE ASSURANCE,TLK CONS User
MGR SALES & PROJECT MANAGEMENT,TLK CONS User
MGR TIOC TERRITORY SYNERGY,TLK CONS User
MGR TSA 1 SOLUTION & MONITORING,TLK CONS User
MGR TSA 2 SOLUTION & MONITORING,TLK CONS User
MGR WITEL BUSINESS SERVICE,TLK CONS User CA
Mitra 1,TLK CONS Audit User|TLK CONS Inquiry User|TLK CONS User
Mitra 2,TLK CONS User CA
Mitra Auditor,TLK CONS Audit User|TLK CONS User
Mitra DIT,CONS ADMIN|TLK CONS Inquiry User|TLK CONS User|TLK CONS User CA
OFF 1 ASSET MGMT&FACILITY SUPPORT,TLK CONS User|TLK CONS User CA
OFF 1 ASSET MGT & FACILITY SUPPORT,TLK CONS User
OFF 1 ASSURANCE SOLUTION,TLK CONS User CA
OFF 1 BGES & WIFI FULFILLMENT,TLK CONS User CA
OFF 1 COMMERCIAL MANAGEMENT 1,TLK CONS User
OFF 1 CUST ENGAGEMENT&SALES BUSS OPERAT,TLK CONS User|TLK CONS User CA
OFF 1 CUSTOMER ENGAGEMENT REG SUPPORT,TLK CONS User|TLK CONS User CA
OFF 1 DATA MANAGEMENT,TLK CONS User|TLK CONS User CA|TLK CONS Support
OFF 1 DFU CUSTOMER CARE,TLK CONS User
OFF 1 DIGITAL CONNECTIVITY REG SUPPORT,TLK CONS User
OFF 1 DIGITAL MARKETING PERF REPORT,TLK CONS User CA
OFF 1 FBB ACCESS PROVISIONING,TLK CONS User CA
OFF 1 FBB ASSURANCE,TLK CONS User
OFF 1 FBB FULFILLMENT,TLK CONS User|TLK CONS User CA
OFF 1 GENERAL SUPPORT,TLK CONS User
OFF 1 GS SALES EVALUATION & MARKETING,TLK CONS User
OFF 1 INFRA OPERATION & MAINTENANCE,TLK CONS User
OFF 1 LOGISTIK & LEGAL,TLK CONS User
"OFF 1 OM IP NW, IS & SWITCHING",TLK CONS User
"OFF 1 OPTIMA, NTE MANAGEMENT & QE",TLK CONS User
OFF 1 PROJECT MANAGEMENT,TLK CONS User
OFF 1 QUALITY OF SALES & REVENUE ASSUR,TLK CONS User CA
OFF 1 QUALITY OF SALES&REVENUE ASSURANCE,TLK CONS User CA
OFF 1 SEGMENT SUPPORT,TLK CONS User
OFF 1 SLA MONITORING,TLK CONS User
OFF 1 TGG JWB SOSIAL & LINGKUNGAN DAN HC,TLK CONS User CA
OFF 1 WOC & QUALITY,TLK CONS User
OFF 2 ACCESS IT TOOL MANAGEMENT,TLK CONS User
OFF 2 ASSET MGMT&FACILITY SUPPORT,TLK CONS User
OFF 2 CAPACITY & BUDGET ANALYSIS,TLK CONS User
OFF 2 CFUC CFUW INET &WIFI INTERFACE MGT,TLK CONS User CA
OFF 2 CUST ENGAGEMENT & SALES BUSS OPS,TLK CONS User
OFF 2 CUST ENGAGEMENT&SALES BUSS OPERAT,TLK CONS User
OFF 2 CUSTOMER INTERACTION MGT OPERATION,TLK CONS User CA
OFF 2 DATA MANAGEMENT,TLK CONS User
OFF 2 FBB ASSURANCE,TLK CONS User CA
OFF 2 FBB FULFILLMENT,TLK CONS User
OFF 2 FULFILLMENT MONITORING,TLK CONS User
OFF 2 FULFILLMENT OPERATION,TLK CONS User
OFF 2 FULFILLMENT SUPPORT,TLK CONS User
OFF 2 INFRA OPERATION & MAINTENANCE,TLK CONS User
OFF 2 LOGISTIK & LEGAL,TLK CONS User
OFF 2 MAINTENANCE,TLK CONS User
"OFF 2 OPTIMA, NTE MANAGEMENT & QE",TLK CONS User
OFF 2 PARTNERSHIP & PERFORMANCE,TLK CONS User
OFF 2 PERFORMANCE & RISK MANAGEMENT,TLK CONS User
OFF 2 PLM OPERATION,TLK CONS User
OFF 2 QUALITY OF SERVICE,TLK CONS User
OFF 2 RESOURCE SUPPORT,TLK CONS User
OFF 2 REVENUE ASSURANCE,TLK CONS User
OFF 2 RUMAH BUMN,TLK CONS User|TLK CONS User CA
OFF 2 SOLUTION DESIGN 2,TLK CONS User CA
OFF 2 TANGGUNG JWB SOSIAL&LINGKUNGAN&HC,TLK CONS User
OFF 2 TSA 1 ASSURANCE & MONITORING,TLK CONS User
OFF 2 TSA 2 ASSURANCE & MONITORING,TLK CONS User
OFF 3 CUST ENGAGAMENT&SALES BUSS OPERAT,TLK CONS User
OFF 3 CUST ENGAGEMENT&SALES BUSS OPERAT,TLK CONS User
OFF 3 CUSTOMER INTERACTION MGT OPERATION,TLK CONS User CA
OFF 3 FULFILLMENT OPERATION,TLK CONS User
OFF 3 FULFILLMENT SUPPORT,TLK CONS User
OFF 3 MAINTENANCE,TLK CONS User
OFF 3 NE OM,TLK CONS User
"OFF 3 NETWORK PERFORM,QUALITY MGMT&ADMIN",TLK CONS User
OFF 3 NTE MANAGEMENT,TLK CONS User
"OFF 3 OPTIMA, NTE MANAGEMENT & QE",TLK CONS User
OFF 3 PARTNERSHIP MANAGEMENT,TLK CONS User
OFF 3 PROJECT REPORTING,TLK CONS User
OFF 3 QUALITY OF SALES&REVENUE ASSURANCE,TLK CONS User
OFF 3 RUMAH BUMN,TLK CONS User
OFF 3 TANGGUNG JWB SOSIAL&LINGKUNGAN&HC,TLK CONS User
OFF 3 TSA 2 SOLUTION MANAGEMENT,TLK CONS User
OFF 3 WOC & QUALITY,TLK CONS User
OSM QUALITY ASSURANCE,TLK CONS User
SENIOR ACCOUNT MANAGER,TLK CONS User
SO APPLICATION TRANSACTION AUDIT REPORT,TLK CONS User
Support Operasional 1,CONS ADMIN
Support Operasional 2,Siebel Administrator
User Aplikasi 1,TLK CONS User
User Aplikasi 2,TLK CONS User CA
User EAI,Developer
User EIM,TLK CONS User
User NCX Tools,Siebel Administrator
User Telkomsel,TLK CONS User|TLK CONS User CA|TLK CONS Support
KANDATEL,TLK CONS User
OFF 3 DATA MANAGEMENT,TLK CONS User
OFF 3 ACC DATA VALIDATION&INVENTORY MGMT,TLK CONS User
OFF 1 MAINTENANCE,TLK CONS User
MGR ACCESS DATA VALIDAT & INVENTORY MGMT,TLK CONS User
OFF 2 QUALITY OF SALES&REVENUE ASSURANCE,TLK CONS User
OFF 3 ACC DATA VALIDATION&INVENTORI MGMT,TLK CONS User
OFF 1 BGES & WIFI FULLFILLMENT,TLK CONS User
