nama,starclick_profile
ACCOUNT MANAGER,Approval Order SCBE|Cancel massal|Create and list opportunity|Invalid Survey SCBE|MYWIFI - Inputer|NEWINDISOL - Inputer|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|Tools|UHOS - Inputer
ACCOUNT MANAGER 1,Approval Order SCBE|Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Tools|User Revoke
ACCOUNT MANAGER 2,Approval Order SCBE|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|Reopen Inbox|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools|User Revoke
ADMIN APC,SCFE Inputer - DCS
ADMIN ASO,Invalid Survey SCBE|SC Backend - Inputer|SCFE Inputer - DCS|User Revoke
ADMIN C4,SC Backend - Inputer|SCFE Inputer - DCS
ADMIN CC,Approval Order SCBE|cek status massal|Report Plasa non Organik|SC Backend - Inputer|SC Frontend - Inputer|SCFE - Input Service Request Basic|SCFE Inputer - DCS
ADMIN DIGITAL LOD,SC Backend - Inputer|SC Frontend - Management|SCFE Inputer - DCS|Supervisor
ADMIN DSW,SC Backend - Inputer|SC Frontend - Inputer|SCFE Inputer - DCS
ADMIN HS,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|SCFE Inputer - DCS|User Revoke
ADMIN PROVISIONING,SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Inputer|SC Frontend - Viewer|User Revoke
ADMIN QC1,SC Backend - Inputer|SCFE Inputer - DCS
ADMIN RLO,Approval Order SCBE|Crl Task|Invalid Survey SCBE|open MO|Profile khusu approval scbe|Report Plasa non Organik|SCFE - Inbox Service Request|SCFE - Input Service Request Basic|SCFE Inputer - DCS|Tools
ADMIN SCB,Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Viewer|SCFE - HSI dan SCBE FU HSI|Tools|User Revoke
ADMIN SUPPORT,Approval Order SCBE|Cancel massal|Create and list opportunity|Crl Task|Dashboard Report Agent|Dashboard user|Helpdesk|Inbox Cancel Telkomsel|Invalid Survey SCBE|Management User|Monitoring Deposit|MYDIGIBIZ - Inputer|MYWIFI - Inputer|NEWINDISOL - Inputer|NEWINDISOL - Viewer|open MO|Profile khusu approval scbe|Report Plasa non Organik|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Admin|SC Frontend - Backroom|SC Frontend - Inputer|SC Frontend - Management|SC Frontend - Senior Leader|SC Frontend - Supervisor|SC Frontend - Viewer|SC Frontend -Service Request OPS|SC Frontend -Service Request Tes|SCBE - Mywms|SCFE - HSI dan SCBE FU HSI|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE - Input Service Request Basic|SCFE Inputer - DCS|System Administrator|Tools|Tools untuk monitoring dan terminate session|UHOS - Inputer|update millestone|User Revoke|User Revoke EBIS
AGEN SSC,cek status massal|MYWIFI - Viewer|NEWINDISOL - Viewer|SC Backend - Viewer|SC Frontend - Viewer|Tools|Tools untuk monitoring dan terminate session|User Revoke
