site_id,nama
ATB064,C#TBG#KLATUNTBGMG
BIM079,JALAN PEMUDA SILA
BIM086,SILA BOLO
BIM089,BIMA KOTA3
BIM130,Split Cell TALABIUMD3
DPR116,PADANG SAMBIAN KELOD
DPR137,Sanur Kaja 2
DPR138,Ciung Wanara
DPR139,Batanghari 5
DPR367,Sanur Kelod
DPR374,KENYERI
DPR012,GDLN
DPR019,JL. SAKURA DENPASAR
DPR026,SESETAN 3
DPR038,PASEKUTA SANUR
DPR040,JL. PULAU AMBOM
DPR740,Kantor Gubernur Bali
GIN022,CANDI BARU GIANYAR
GIN055,SIDAN KELOD
GSK239,SEDAPURKLAGENDMT
MGW057,Berawa MCME
MTR152,ADE IRMA MONJOK
MTR155,BEO MATARAM
MTR162,SULTAN SALAHUDIN MATARAM
MLG862,STASIUNMALANG
MLG912,IJENNIRWANA
MDU017,RAWABHAKTI
LRT066,HOMA
KED235,BANARANDMT
JMB095,URIPSUMOHARJOMCME
KPG259,AMARIS KUPANG ex RSUD DOMPU ex On The rock Kupang
KED135,SULTANAGUNG
KED200,KETAWANG
TAB035,Belayu
SBW033,OLAT RARANG
SBY557,MENANGGALUTARA
SBY174,TAMBAKWINDU
ATB045,Split Rep Atapupu S2
BLR006,KADEMANGAN (EX WONOTIRT
BTU160,PENIWENMW
PRO047,GANDUKEPUHMW
GSK090,KARTINIGRESIKMW
MDU025,Dungus
BWI131,Kalipuro Kota Banyuwangi PTI (yossudarso)
TAG010,KALIDAWIRMW
KED044,SIDOMULYO KEDIRI EX BEN
SBY549,RUNGKUTTENGAH2MW
PSN036,PSN036 REJOSO
TAG016,KALANGBRETMW
BLR059,KARANGSARIBLITARMW
SBY677,PENSMW
SIT002,STOBESUKIMW
BJO053,NGLINGITENGGERMW
BKN003,TANAHMERAHMW
NJK031,NGLAWAK (KERTOSONO 2)
MDU043,MADIGONDO
KED136,GUDANGGARAMUNIT1MW
JBR027,KASIANMW
SIT049,BUDUANSUBOHMW
MDU037,Saradan Asri
PRO078,NGROGUNG (TJGSARI EX SPLIT)
SDA078,TAMANRAYAKRIANTBGMW
BTU002,SINGOSARIMW
TAG020,KEDUNGWARUMW
MJO033,DLANGUMW
KED112,KLAMPISANKEPUNGMW
JMB038,TAPEN JOMBANG
BJO076,NGANTRUNGASEMMW
JBR004,AMBULUMW
BLR004,KARANGTENGAHBLITARMW
BDO023,TAMANSARIBONDOWOSO
PRO080,BABADANPONOROGOXLAJNMW
SDA096,PERMATAMEGAHASRIMW
BTU066,SELECTAMW
LMG026,SUNGAILEBAKLAMONGANMW
TBN023,PALANG EX KEDUNGWARU
LMJ016,SENDUROMW
JBR009,BANGSALSARIMW
JBR040,EGALWARUDMT
PMN035,LAWANGANDAYAPADEMAWUMW
BWI122,CLURINGDMTMW
PRO027,JAMBONPONOROGOMW
BLR009,LODOYOMW
BLR018,PAKUNDENMW
JMB043,PUCANGSIMO
LMG004,Berondong
TBN070,MARGOSUKOBANCARPTIMW
BKN035,GILITIMURMW
SBY220,HOTELMOJOPAHITMW
KED226,Doko
BTU061,KALIPARE
MLG272,DRUJUPTIMW
JMB071,PASARBARENGTBGMW
SPG002,SAMPANG2MW
TGK003,TRENGGALEK2MW
SDA012,BALONGBENDOMW
PSN008,TELKOMPASURUANMW
BLR036,SUMBER RINGIN
NJK020,LOHCERET
GSK208,RM Krawu Gresik
SBY490,ITCUNDAANIW
MDU077,Kranggan Geger
PMN014,PAMEKASAN3MW
PBO056,OS.SUMBERANYARPAITON
SBY502,RSSOETOMOIW
BLR057,GANDUSARI BLITAR
SBY322,Kawasaki Motor JL Basuki Rachamd
LMG072,WADUKGONDANGMW
PBO086,KRAKSAANPANTAITBGMW
MLG347,Plaosan
KED071,KANDATKEDIRIMW
LMJ046,KARANGBENDOMW
SDA163,RANGKAHKIDULSTPMW
SBY166,MENGANTIKEDAMEANMW
SIT046,SIT046 JUGLANGANMW - 50Mbps
PBO080,TRIWUNG LOR KADEMANGAN
LMJ075,KUTO RENON
SBY784,SBY784 WONOKUSUMOTBGMW
BWI052,BWI052 PLAMPANGREJOMW
PBO001,PROBOLINGGOMW
MGT005,PLAOSAN
LMJ029,DOROGOWOKLUMAJANGMW
BKN005,BLEGAMW
PBO111,KLENANGLORTBGMW
BWI090,BWI090 KARANGBENDOJAMPIMW - 50Mbps
MLG241,STTADMW
KED029,SAMBIREJO PARE (PARE-GU
PBO078,KARANGPRANTIPAJARAKANMW
SDA006,SDA006 Sumokali - 50Mbps
SBY980,TAMANBUNGKULMW
PBO076,RS. WALUYO JATI
JBR108,Jember Klinik
JMB079,Sukorejo Perak DMT
BTU054,AMPELGADING
PSN009,STOTRETESMW
MJO073,WONOREJOTRIWULANMW
SDA151,Kelopo Sepuluh Sidoarjo CII
GSK114,Katangpoh Gresik PTI
NWI009,NGRAMBEMW
SBY546,KEDINDINGLOR2MW
SBY038,SBY038 Darmo Indah - 50Mbps
BTU004,STOKEPANJENMW
KED119,NGAMPEL MOJOROTO
LMJ008,YOSOWILANGUNMW
PBO143,Rumdin  Ipmomi
PCN006,DONOREJOMW
GSK034,MENGANTIMW
MJO003,NGORO
BTU156,PANDANSARILORJABUNGMW
PSN010,PURWOSARIMW
BWI079,SUKOWIDIMW
BWI057,Karangsari
SBY111,DENTALSOLUTIONMW
GSK056,PetrokimiaGresikIndoor
MLG428,MLG428 PBITIMURSTP
PSN030,GONDANGWETANMW
TAG060,STO_TULUNGAGUNG
BTU085,SIDOREJOMW
PSN117,CANDIWATESTBGMW
NJK041,WARUJAYENGMW
MLG082,Matos Macro
KED065,DS BRINGIN (PARE 3)
TBN011,TUBAN3MW
JBR098,JUBUNGMW
SBY086,BCA Darmo (Nexwave)
TGK020,REJOWINANGUNMW
MJO049,TAWARMW
GSK032,KEBOMASGRESIKMW
JMB088,KADEMANGANDMTMW
GSK006,BAMBEMW
BWI006,Bangsring
BWI081,Kebalenan
JBR144,Kreyongan Jember DMT
MLG247,TULUSREJOLOWOKWARUMW
SBY544,SBY544 KALIJUDAN3MW
JBR274,JBR274 IKIP PGRI - 50Mbps
LMG024,LAMONGAN3MW
MLG217,KENARI
BTU187,BTU187 KARATEBATUMW
SIT057,BARATASEMBAGUSMW
TBN007,BANCARMW
MGT052,MGT052 RUKOYAMAHAPASARSAYURMAGETAN-50Mb
GSK071,METATUDMTMW
PSN037,GUDANGGARAMPANDAANMW
SMP001,SUMENEPMW
MLG372,MLG372 Madyopuro - 50Mbps
BKN048,TANJUNGJATI
LMG028,GLAGAH LAMONGAN
TBN078,SENDANGHARJOTUBANMW
BTU056,JABUNGMW
PSN141,KRESIKANTBGMW
MLG405,MLG405 GONDANGLEGI3 DMT - 50Mbps
PRO031,MLARAKMW
BTU058,GEDOKWETAN EX GOA GONG
NWI007,NWI007 Widodaren - 50Mbps
SBY356,PERUMSAKURAREGENCYPTIMW
PBO077,PAHLAWAN LECES (KEDAWUNG LCS)
TGK015,GANDUSARIMD
MGT023,TLADANMW
JMB113,Mojokrapak
PRO065,CARANGREJOSAMPUNGMW
TBN012,JGCMW
TBN024,KEREKMW
MJO034,KUTOREJO
MLG321,SANTREANBATUMALANGTBGMW
PSN070,TEJOWANGIDMTMW
MGT046,MGT046 LANUDISWAHYUDIMADIUN
SIT042,TPIBANYUPUTIHMW
NWI060,NWI060 WATUALANGMW - 50Mbps
MJO010,PACET
JBR026,GUMUKMAS
SBY751,BANGKINGAN2DMTMW
TAG053,BALEREJOMG
BTU026,PONCOKUSUMOMW
PRO003,PRO003 BADEGANMW - 50Mbps
NWI005,NGAWIMW
